customer_ref,customer_id,account_type,account_num,billing_account_id,subs_id,bpi_id,subscription_name,ocs_subscriber_id,cash_balance_id,ocs_subscription_id,sms_allowance,voice_allowance,data_allowance,actual_start_date,actual_end_date,sequence_number,autorenewal_id,autorenewal_value,billing_subs_status_id,billing_subs_status_value,subs_status_id,subs_status_value,customer_category_id,customer_category_value,initiating_system_id,initiating_system_value,distribution_channel_id,distribution_channel_value,shop_id,upfront_payment,remaining_upfront_payment,processed_when_date,subs_location_id,charge_discount_mrc,charge_tax_mrc,charge_total_mrc,tariff_plan_template_id,tariff_plan_template_name,date_change_tariff_plan,tariff_plan_id,tariff_plan_name,tariff_plan_weight,tariff_plan_bil_spec_id,tariff_plan_bil_spec_value,msisdn_id,msisdn,phone_number_status_id,phone_number_status_value,ported_from_id,ported_from_name,phone_number_category_id,phone_number_category_value,iccid_id,imsi,sim_card_type_id,sim_card_type_value,sim_card_logical_status_value,sim_card_logical_status_id,ported_to_id,ported_to_name,extraction_timestamp,date,history_date
1000163955,9158904167513929378,postpaid,2000163955,9158904172213930100,9158904170613932852,9158904170613932852,VF Red - M | 77110180 #662,500000000003,NULL,5e3aa391-b629-4f45-8a04-d7d0f27a58c4,NULL,NULL,NULL,2020-11-23 10:16:29,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9153817101813286625,SSP,9157882873313995000,App,NULL,10,0,2020-11-23 10:16:36,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-11-23 10:15:29,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904062213909725,77110180,9144596250213377983,In Use,NULL,NULL,9153651213713172482,Regular,9158904056913909384,904056913909384,9141573920013381957,SIM Card,In Use,9141687398113679757,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000163951,9158904160913928040,postpaid,2000163951,9158904163313928962,9158904171713930507,9158904171713930507,VF Red - M | 77110089 #617,NULL,NULL,adff10b9-4359-461b-81aa-fb4056c58bde,NULL,NULL,NULL,2020-11-23 10:15:41,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9153817101813286625,SSP,9157882873313995000,App,NULL,10,0,2020-11-23 10:15:51,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-11-23 10:14:45,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904061313909625,77110089,9144596250213377983,In Use,NULL,NULL,9153651213713172482,Regular,9158386242813997651,386242813997651,9156069665313133041,eSIM,Assigned,9156190575213780563,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000164011,9158904931613977309,postpaid,2000164012,9158904934713977499,9158904941913978167,9158904941913978167,VF Red - M | 77110025 #1568,500000000001,NULL,e86c12e9-8848-4b72-8612-70283f01bb53,NULL,NULL,NULL,2020-11-23 12:25:19,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9153817101813286625,SSP,9157882873313995000,App,NULL,10,0,2020-11-23 12:25:23,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-11-23 12:24:00,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904067613909506,77110025,9144596250213377983,In Use,NULL,NULL,9153651213713172482,Regular,9158904053913909384,904053913909384,9141573920013381957,SIM Card,In Use,9141687398113679757,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000164129,9159017050313238500,postpaid,2000164129,9159017061313238637,9159017077713239113,9159017077713239113,VF Red - M | 77200006 #2816,500000000000,NULL,4dbd343f-e1d5-46d5-8457-53320df820fe,NULL,NULL,NULL,2020-12-06 11:52:44,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9153817101813286625,SSP,9157882873313995000,App,NULL,10,0,2020-12-06 11:52:55,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-12-06 11:51:18,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904365613956169,77200006,9144596250213377983,In Use,NULL,NULL,NULL,NULL,9158904052113909357,904052113909357,9141573920013381957,SIM Card,In Use,9141687398113679757,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000164171,9159025817513411128,postpaid,2000164152,9159025811613411266,9159025822513411501,9159025822513411501,VF Red - M | 77110065 #3113,500000000004,NULL,f19a7125-2532-42ad-8ce1-69115c513f12,NULL,NULL,NULL,2020-12-07 12:10:51,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9153817101813286625,SSP,9157882873313995000,App,NULL,10,0,2020-12-07 12:10:56,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-12-07 12:09:59,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904067013909625,77110065,9144596250213377983,In Use,NULL,NULL,9153651213713172482,Regular,9158904050313909357,904050313909357,9141573920013381957,SIM Card,In Use,9141687398113679757,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000164176,9159026204513421687,postpaid,2000164169,9159026228613421785,9159026233313422037,9159026233313422037,VF Red - M | 77110235 #3273,500000000005,NULL,b8704152-0791-457c-baf5-37ff37629512,NULL,NULL,NULL,2020-12-07 13:19:15,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9153817101813286625,SSP,9157882873313995000,App,NULL,10,0,2020-12-07 13:19:18,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-12-07 13:18:46,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904067713909725,77110235,9144596250213377983,In Use,NULL,NULL,9153651213713172482,Regular,9158386248513997651,386248513997651,9156069665313133041,eSIM,Assigned,9156190575213780563,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000163998,9158904262513953716,postpaid,2000163998,9158904287613953854,9158904281913954192,9158904281913954192,VF Red - M | 77110138 #1216,NULL,NULL,176103a5-88d9-4a1a-95b4-d011ebc0f732,NULL,NULL,NULL,2020-11-23 10:35:11,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9153817101813286625,SSP,9157882873313995000,App,NULL,10,0,2020-11-23 10:48:12,NULL,10.00,0.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-11-23 10:48:03,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904060813909625,77110138,9144596250213377983,In Use,NULL,NULL,9153651213713172482,Regular,9158386244613997651,386244613997651,9156069665313133041,eSIM,Assigned,9156190575213780563,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000163976,9158904219413939938,postpaid,2000163976,9158904210013940464,9158906523013081713,9158906523013081713,VF Red - M | 77110045 #2231,NULL,NULL,030a03a5-06b9-4d2c-9950-b4f1a715e59b,NULL,NULL,NULL,2020-11-23 17:09:13,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9148223396313661753,Order Entry,9157882873313995000,App,NULL,10,10,2020-11-23 17:09:21,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-11-23 16:50:30,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904067813909506,77110045,9144596250213377983,In Use,NULL,NULL,9153651213713172482,Regular,9158386261313998866,386261313998866,9141573920013381957,SIM Card,In Use,9141687398113679757,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000164007,9158904575213964560,postpaid,2000164007,9158904575613964797,9158904586613965539,9158904586613965539,VF Red - M | 77110195 #1392,NULL,NULL,2b5ad34a-3ce8-46fd-92cd-724883382fae,NULL,NULL,NULL,2020-11-23 11:24:37,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9153817101813286625,SSP,9157882873313995000,App,NULL,10,0,2020-11-23 11:24:41,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-11-23 11:23:49,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904067313909725,77110195,9144596250213377983,In Use,NULL,NULL,9153651213713172482,Regular,9158386244913997651,386244913997651,9156069665313133041,eSIM,Assigned,9156190575213780563,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
1000164009,9158904716913970611,postpaid,2000164014,9158905191413980359,9158905201913980606,9158905201913980606,VF Red - M | 77200000 #1608,NULL,NULL,785f5763-c6b7-45ca-9283-6b3bd6d4a9ff,NULL,NULL,NULL,2020-11-23 13:07:46,NULL,1,7777001,Yes,NULL,NULL,9132857804713527191,Active,9145846203913115265,Consumer,9148223396313661753,Order Entry,9157882873313995000,App,NULL,10,10,2020-11-23 13:07:54,NULL,0.00,10.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,2020-11-23 13:07:12,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9158904369513956169,77200000,9144596250213377983,In Use,NULL,NULL,NULL,NULL,9158386245713997651,386245713997651,9156069665313133041,eSIM,Assigned,9156190575213780563,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-59-26
